doc_id,label_name,text
doc_001056,Business,"US to purchase flu vaccine from Canada, Germany. The US government is planning to purchase 5 million doses of flu vaccine from Canadian and German plants to deal with their shortages, the Canadian Broadcast Corporation (CBC) reported Monday."
doc_000301,Sports,"Fans offside as tycoons target English clubs. DIVIDED down the years by the rawest rivalry in English football, Manchester United and Liverpool found their histories converging at the weekend as both clubs braced themselves for imminent takeover."
doc_002868,Sci/Tech,"RealNetworks Halves Music Prices, Sees Wider Loss (Reuters). Reuters - RealNetworks Inc. on Tuesday halved prices for songs downloaded from its online music store to win customers for new technology that has rankled rival Apple Computer Inc."
doc_003513,Sports,"Expos Release Ticket Plan. Washington #39;s Major League Baseball franchise today began to unveil its plans to sell season tickets, ending two weeks of delays and marking the first tangible way for fans to connect with"
doc_003806,Business,"Sun Woos Financial Customers on Wall Street. NEW YORK -- Sun Microsystems (Quote, Chart) President and COO Jonathan Schwartz declared war on Red Hat Linux on Intel-based x86 machines in an attempt to woo financial services customers."
doc_002779,Sports,"UPDATE 2-McGrath strikes after Clarke, Gilchrist tons. Michael Clarke made a sparkling 151 on his debut and captain Adam Gilchrist 104 to put Australia in command against India in the first test on Thursday."
doc_000234,World,"Rivals in Ukraine Agree to Negotiate Over Vote. The two candidates claiming to be president-elect agreed to negotiations, the first sign of an easing of tensions that have risked leading the nation toward civil war."
doc_001907,Sports,"Relievers Are Lucky the Yankees Didn't Need This Game. Determined to give his best setup man, Tom Gordon, the night off, Manager Joe Torre watched as the Yankees disintegrated in the eighth inning Saturday."
doc_004807,World,"Bush, Kerry Campaign in West Before Debate (AP). AP - Bracing for their final debate, John Kerry accused President Bush of favoring ""friends in the oil industry"" over consumers strapped with rising fuel bills on Monday while Bush said his challenger so misunderstood the war on terror that he thought it could be reduced to ""a nuisance"" akin to prostitution or illegal gambling."
doc_005985,Sci/Tech,"Exploit Code Appears for MS Graphics Flaw. Just a week after Microsoft released a patch to plug a security flaw in the way at least 13 of its programs handle the JPEG imaging format, code appeared on the Internet on Wednesday showing how to exploit those holes."
doc_002034,Business,"Oracle says its software gaining on rival SAP. San Francisco, December 7: Oracle Corp on Monday said it believes its business software applications, an area that has lagged the rest of the company, are gaining ground against market leader SAP AG of Germany."
doc_001857,Business,"   
	  "
doc_000285,Sci/Tech,"JBoss delivers aspect orientation with Version 4.0. Open source application servers vendor JBoss Inc will today release version 4.0 of its core JBoss AS product, which is claimed to be the first open source application server to support AOP (aspect oriented programming) for Java."
doc_004486,Sci/Tech,"Verizon, Comcast execs slam regulation. OCTOBER 12, 2004 (IDG NEWS SERVICE) - SAN FRANCISCO -- Cable met telecommunications yesterday at the Telecom  #39;04 trade show in Las Vegas as the top executives of Verizon Communications Inc."
doc_004569,Sports,"TARGET CHALLANGE GOLF LATEST BETTING ODDS NEWS. The golf season finally enters its winter break this week, and there will be no more action on either the US PGA Tour or the European Tour until January."
doc_004589,World,"Fla. County to Replace Absentee Ballots (AP). AP - With voters jamming phone lines saying they haven't received absentee ballots in the mail, elections officials planned to mail out thousands of replacement ballots."
doc_001178,Business,"Yahoo Japan Q2 profit rises 46.2. TOKYO (CBS.MW) - Yahoo Japan said Wednesday its second-quarter net profit rose 46.2 percent from a year earlier, helped by advertising sales and growth of its online auction services."
doc_005827,World,Anti-Bush activists on the march. Opponents of President Bush take to the streets of New York for a protest march ahead of the Republican convention.
doc_001723,World,"France Urges Caution in Oil-For-Food Case (AP). AP - France urged caution Thursday in dealing with a U.S. inspector's allegations it was involved in corruption at the U.N. oil-for-food program in Iraq, while others singled out in the report rejected the charges as ""far-fetched."""
doc_000079,World,
doc_001987,Sports,"Shanghai Race: Barrichello stars. Using a three-stop strategy, Ferraris Brazilian number two won the Chinese Grand Prix while Fernando Alonso finished fourth."
doc_004300,World,OPEC Warns Oil Supply Cuts Needed for 2005. CAIRO (Reuters) - OPEC oil producers said Thursday that  Friday's ministerial meeting would rein in oversupply to  bolster falling prices and that the cartel would have to reduce  output quotas early next year.
